model,task,trial_dir,resolved,f2p_passed,f2p_total,p2p_passed,p2p_total,posthoc_skips_applied,agent_steps,tool_call_count,input_tokens,cached_tokens,output_tokens,wall_clock_sec,infra_fail
anthropic/bedrock-claude-opus-4-6,t2v3-BL60e2-http-client-protocol-refactor,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-BL60e2-http-client-protocol-VbaDpqD,1,4,4,230,230,0,59,36,2240923,2110765,43683,806.444898,0
anthropic/bedrock-claude-opus-4-6,t2v3-BL60e2-http-client-protocol-refactor,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-BL60e2-http-client-protocol-c329QfJ,1,4,4,230,230,0,63,40,2061575,1949963,14152,374.527352,0
anthropic/bedrock-claude-opus-4-6,t2v3-BL9bd7-multipart-formdata-roundtrip-fix,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-BL9bd7-multipart-formdata-r-wVRy8V6,0,12,16,358,358,0,78,51,2702146,2609500,11876,403.644341,0
anthropic/bedrock-claude-opus-4-6,t2v3-BL9bd7-multipart-formdata-roundtrip-fix,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-BL9bd7-multipart-formdata-r-FYZi29S,0,12,16,358,358,0,75,46,2444425,2353579,10851,326.197394,0
anthropic/bedrock-claude-opus-4-6,t2v3-BL9bd7-multipart-formdata-roundtrip-fix,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-BL9bd7-multipart-formdata-r-uPNagAB,0,12,16,358,358,0,111,72,2749676,2697620,12521,377.433045,0
anthropic/bedrock-claude-opus-4-6,t2v3-BL9bd7-multipart-formdata-roundtrip-fix,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-BL9bd7-multipart-formdata-r-2ajb5Rn,0,12,16,358,358,0,85,59,2094248,2041966,11723,328.552175,0
anthropic/bedrock-claude-opus-4-6,t2v3-BL9bd7-multipart-formdata-roundtrip-fix,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-BL9bd7-multipart-formdata-r-MRuLtAt,0,12,16,358,358,0,106,70,3257420,3178231,15920,440.674905,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLa5a2-pluggable-binding-converters,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-BLa5a2-pluggable-binding-co-9BhUbEh,0,10,14,367,367,0,52,33,2473372,2324743,52223,857.174594,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLa5a2-pluggable-binding-converters,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-BLa5a2-pluggable-binding-co-mp89JKa,0,10,14,367,367,0,79,47,5035827,4860766,67937,1106.381186,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLa5a2-pluggable-binding-converters,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-BLa5a2-pluggable-binding-co-wFNdG7W,0,10,14,367,367,0,50,30,2034302,1946271,37605,795.253,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLa5a2-pluggable-binding-converters,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-BLa5a2-pluggable-binding-co-NvRu7uY,1,14,14,367,367,0,63,41,2117200,2065092,17864,406.73325,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLa5a2-pluggable-binding-converters,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-BLa5a2-pluggable-binding-co-nF2eHqN,0,7,14,367,367,0,55,35,1803405,1727126,15156,380.13368,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLbca5-mount-prefix-propagation,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-BLbca5-mount-prefix-propaga-Yaata2x,1,6,6,61,61,0,126,75,4457977,4386322,17413,594.065176,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLbca5-mount-prefix-propagation,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-BLbca5-mount-prefix-propaga-P9XszAW,1,6,6,61,61,0,78,44,2392840,2327947,22303,562.434336,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLbca5-mount-prefix-propagation,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-BLbca5-mount-prefix-propaga-bRJxzzy,1,6,6,61,61,0,85,47,2610621,2534167,21211,520.381535,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLbca5-mount-prefix-propagation,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-BLbca5-mount-prefix-propaga-dePo8yH,1,6,6,61,61,0,107,64,3742847,3667990,15115,551.475694,0
anthropic/bedrock-claude-opus-4-6,t2v3-BLbca5-mount-prefix-propagation,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-BLbca5-mount-prefix-propaga-2EmX5Dc,1,6,6,61,61,0,82,51,2495563,2427970,21435,512.719173,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA6bc4-cattrs-annotated-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-CA6bc4-cattrs-annotated-ove-LZSecr7,1,12,12,2,2,0,58,35,2446066,2362842,24211,632.621267,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA6bc4-cattrs-annotated-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-CA6bc4-cattrs-annotated-ove-tRTnh5B,1,12,12,2,2,0,55,32,2268211,2190781,24854,601.876362,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA6bc4-cattrs-annotated-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-CA6bc4-cattrs-annotated-ove-GXSCcXU,1,12,12,2,2,0,73,43,2608401,2530611,20018,651.145728,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA6bc4-cattrs-annotated-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-CA6bc4-cattrs-annotated-ove-P9WZvDB,1,12,12,2,2,0,115,71,3459542,3402914,20170,639.049279,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA6bc4-cattrs-annotated-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-CA6bc4-cattrs-annotated-ove-mQcZXce,1,12,12,2,2,0,57,34,2560853,2474177,19861,592.790605,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA872b-splits-during-bed-and-breakfast,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-CA872b-splits-during-bed-an-xWoL3CB,1,2,2,16,16,0,71,37,3010262,2900295,39909,821.453343,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA872b-splits-during-bed-and-breakfast,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-CA872b-splits-during-bed-an-aGCKjc9,1,2,2,16,16,0,67,41,3012803,2919597,47700,979.241267,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA872b-splits-during-bed-and-breakfast,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-CA872b-splits-during-bed-an-JkLxCZn,1,2,2,16,16,0,60,33,2591340,2422580,43185,1259.629982,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA872b-splits-during-bed-and-breakfast,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-CA872b-splits-during-bed-an-KVGRxaT,1,2,2,16,16,0,74,44,3066782,2890022,45212,949.438366,0
anthropic/bedrock-claude-opus-4-6,t2v3-CA872b-splits-during-bed-and-breakfast,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-CA872b-splits-during-bed-an-UPrsvKg,1,2,2,16,16,0,57,30,1941729,1735998,48360,1652.294406,0
anthropic/bedrock-claude-opus-4-6,t2v3-CH78cb-chat-profile-config-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-CH78cb-chat-profile-config--zGobSPL,1,4,4,57,57,0,66,37,2447899,2360161,38674,809.966346,0
anthropic/bedrock-claude-opus-4-6,t2v3-CH78cb-chat-profile-config-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-CH78cb-chat-profile-config--DYwNHWr,1,4,4,57,57,0,145,81,4937948,4857734,23159,674.676676,0
anthropic/bedrock-claude-opus-4-6,t2v3-CH78cb-chat-profile-config-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-CH78cb-chat-profile-config--J8aPHS4,1,4,4,57,57,0,131,78,4471119,4341425,22703,697.706111,0
anthropic/bedrock-claude-opus-4-6,t2v3-CH78cb-chat-profile-config-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-CH78cb-chat-profile-config--UKy3Qbj,1,4,4,57,57,0,143,82,4673451,4536037,24608,604.153138,0
anthropic/bedrock-claude-opus-4-6,t2v3-CH78cb-chat-profile-config-overrides,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-CH78cb-chat-profile-config--3o6trmE,1,4,4,57,57,0,85,48,2450313,2380761,24097,630.295002,0
anthropic/bedrock-claude-opus-4-6,t2v3-CHc3c1-locale-fallback-dataframe-polars,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-CHc3c1-locale-fallback-data-GsGzQiA,0,4,5,68,69,0,24,16,427485,406986,4674,160.349458,0
anthropic/bedrock-claude-opus-4-6,t2v3-CHc3c1-locale-fallback-dataframe-polars,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-CHc3c1-locale-fallback-data-ZK9BTcZ,0,4,5,68,69,0,23,16,394731,373975,4395,130.009576,0
anthropic/bedrock-claude-opus-4-6,t2v3-CHc3c1-locale-fallback-dataframe-polars,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-CHc3c1-locale-fallback-data-FpVcFZS,0,3,5,68,69,0,58,38,1378127,1341389,10196,307.61731,0
anthropic/bedrock-claude-opus-4-6,t2v3-CHc3c1-locale-fallback-dataframe-polars,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-CHc3c1-locale-fallback-data-xnn3h6F,0,4,5,68,69,0,28,16,364450,324263,4276,103.173002,0
anthropic/bedrock-claude-opus-4-6,t2v3-CHc3c1-locale-fallback-dataframe-polars,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-CHc3c1-locale-fallback-data-FQneDj2,0,5,5,68,69,0,30,19,493193,470466,5510,129.622511,0
anthropic/bedrock-claude-opus-4-6,t2v3-CHe590-ask-file-upload-validation,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-CHe590-ask-file-upload-vali-W3CJcR2,0,4,5,45,45,0,82,52,2064353,2005660,12081,359.701175,0
anthropic/bedrock-claude-opus-4-6,t2v3-CHe590-ask-file-upload-validation,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-CHe590-ask-file-upload-vali-nAqtEgs,0,4,5,45,45,0,94,59,2417236,2294183,13617,404.778977,0
anthropic/bedrock-claude-opus-4-6,t2v3-CHe590-ask-file-upload-validation,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-CHe590-ask-file-upload-vali-jcQ5P75,0,4,5,45,45,0,84,53,2220631,2167159,12937,429.413369,0
anthropic/bedrock-claude-opus-4-6,t2v3-CR1c25-django-settings-forward-ref,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-CR1c25-django-settings-forw-V82Eecw,1,5,5,25,25,0,25,12,602597,555967,23471,342.976927,0
anthropic/bedrock-claude-opus-4-6,t2v3-CR1c25-django-settings-forward-ref,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-CR1c25-django-settings-forw-ptotmsw,1,5,5,25,25,0,16,8,335868,273192,25917,354.584698,0
anthropic/bedrock-claude-opus-4-6,t2v3-CR1c25-django-settings-forward-ref,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-CR1c25-django-settings-forw-SP7CjWc,1,5,5,25,25,0,22,14,821538,752214,36225,558.515007,0
anthropic/bedrock-claude-opus-4-6,t2v3-CR1c25-django-settings-forward-ref,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-CR1c25-django-settings-forw-MCMwfTr,1,5,5,25,25,0,29,15,767735,705471,21237,368.384591,0
anthropic/bedrock-claude-opus-4-6,t2v3-CR1c25-django-settings-forward-ref,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-CR1c25-django-settings-forw-5PfDffA,0,5,5,24,25,0,26,15,816385,744533,27944,458.201015,0
anthropic/bedrock-claude-opus-4-6,t2v3-CS8148-literal-union-type-handling,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-CS8148-literal-union-type-h-c8KVJGY,0,4,5,128,128,0,60,35,1598062,1527892,24384,1115.252086,0
anthropic/bedrock-claude-opus-4-6,t2v3-CS8148-literal-union-type-handling,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-CS8148-literal-union-type-h-NqqWGsc,0,4,5,128,128,0,105,66,4806309,4712929,33877,916.84652,0
anthropic/bedrock-claude-opus-4-6,t2v3-CS8148-literal-union-type-handling,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-CS8148-literal-union-type-h-dXEmpro,0,4,5,128,128,0,56,34,1649066,1585138,16265,733.683822,0
anthropic/bedrock-claude-opus-4-6,t2v3-CS8148-literal-union-type-handling,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-CS8148-literal-union-type-h-r9eKjgd,0,4,5,128,128,0,94,59,3843861,3772686,27616,829.415101,0
anthropic/bedrock-claude-opus-4-6,t2v3-CS8148-literal-union-type-handling,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-CS8148-literal-union-type-h-NnjkcSk,0,3,5,128,128,0,196,124,10561761,10438270,54171,1441.712585,0
anthropic/bedrock-claude-opus-4-6,t2v3-CUf582-ws-control-frame-filtering,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-CUf582-ws-control-frame-fil-JJbyQxB,0,2,5,110,110,0,47,27,928357,886423,7758,288.4118,0
anthropic/bedrock-claude-opus-4-6,t2v3-CUf582-ws-control-frame-filtering,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-CUf582-ws-control-frame-fil-xz3GwkD,0,2,5,110,110,0,39,24,864968,828029,7058,232.016427,0
anthropic/bedrock-claude-opus-4-6,t2v3-CUf582-ws-control-frame-filtering,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-CUf582-ws-control-frame-fil-BgGZASC,0,4,5,110,110,0,33,19,738202,703240,6104,232.12876,0
anthropic/bedrock-claude-opus-4-6,t2v3-CUf582-ws-control-frame-filtering,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-CUf582-ws-control-frame-fil-SseKpCw,1,5,5,110,110,0,79,50,2300817,2259645,10507,391.700103,0
anthropic/bedrock-claude-opus-4-6,t2v3-CUf582-ws-control-frame-filtering,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-CUf582-ws-control-frame-fil-VzFNbch,0,2,5,110,110,0,35,21,664760,635158,7676,235.47078,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA055f-input-model-ref-strategy,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-DA055f-input-model-ref-stra-5zTazLY,1,10,10,40,40,0,107,67,5435853,5318921,38302,1234.6304,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA055f-input-model-ref-strategy,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-DA055f-input-model-ref-stra-fJBFXqF,1,10,10,40,40,0,78,45,3785183,3682122,27652,958.009637,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA055f-input-model-ref-strategy,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-DA055f-input-model-ref-stra-pzNVtuY,1,10,10,40,40,0,138,82,6732599,6623159,46719,1111.328425,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA055f-input-model-ref-strategy,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-DA055f-input-model-ref-stra-DuGKpFA,1,10,10,40,40,0,116,72,4261065,4184933,25545,744.530875,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA055f-input-model-ref-strategy,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-DA055f-input-model-ref-stra-gJzp5As,1,10,10,40,40,0,117,71,4758854,4665073,37613,940.090593,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA076a-dace-argument-marshal-refactor,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-DA076a-dace-argument-marsha-QHw2ySd,1,4,4,14,14,0,187,117,8517675,8412285,32691,3600.014283,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA076a-dace-argument-marshal-refactor,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-DA076a-dace-argument-marsha-9asTMY2,1,4,4,14,14,0,154,92,5784896,5696648,32247,823.512164,0
anthropic/bedrock-claude-opus-4-6,t2v3-DA076a-dace-argument-marshal-refactor,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-DA076a-dace-argument-marsha-D4b4AnR,1,4,4,14,14,0,135,79,5292153,5191487,22078,682.745075,0
